n_learn,loss,acc
31000,0.093971,12.7
32000,0.0922,12.3
33000,0.091754,13.4
34000,0.09188,15.1
35000,0.091656,13.5
36000,0.089415,14.0
37000,0.086611,16.8
38000,0.091031,12.3
39000,0.088119,14.4
40000,0.089189,15.3
41000,0.088061,14.1
42000,0.086828,14.5
43000,0.090591,12.1
44000,0.088058,13.8
45000,0.088273,13.2
46000,0.087483,13.7
47000,0.088155,14.7
48000,0.086921,14.8
49000,0.084544,16.2
50000,0.085398,15.5
51000,0.086497,15.1
52000,0.08407,16.1
53000,0.084565,14.8
54000,0.084048,16.4
55000,0.082704,15.3
56000,0.084611,14.9
57000,0.082052,16.5
58000,0.082939,15.5
59000,0.085065,15.0
60000,0.085857,15.4
61000,0.084669,14.7
62000,0.084246,14.9
63000,0.085055,13.9
64000,0.081476,15.0
65000,0.081597,16.5
66000,0.084405,14.4
67000,0.08529,15.3
68000,0.083267,15.2
69000,0.086411,13.5
70000,0.086099,13.7
71000,0.087325,14.4
72000,0.084814,14.3
73000,0.085863,14.5
